iso1,iso2,dist,weeks,pair_location
104646,67713,9464,173.4,Same
104646,67756,9385,172.4,Same
104646,67759,9385,172.4,Same
104646,67762,9385,172.4,Same
104646,67814,9495,171.9,Same
104646,67865,9923,170.7,Same
104646,68009,9234,168.7,Same
104646,68745,9687,161.9,Same
104646,68879,9482,160.6,Same
104646,69206,8950,158,Same
104646,69564,8950,155.7,Same
104646,69687,8950,154.1,Same
104646,69728,8950,153.9,Same
104646,70650,9962,141.6,Same
104646,70875,9292,131.6,Same
104646,71359,9481,125.7,Same
104646,75028,9428,101.4,Same
104646,77559,2687,87.3,Same
104646,77837,2793,84.3,Same
104646,77856,2789,84.1,Same
104646,77867,2770,84,Same
104646,77982,2778,83.1,Same
104646,77986,2788,83,Same
104646,78020,2783,82.9,Same
104646,78028,2577,82.9,Same
104646,78037,2780,82.6,Same
104646,78150,2795,81.9,Same
104646,79771,9705,76.3,Same
104646,80181,9802,75.6,Same
104646,80409,9338,74.9,Same
104646,81045,9346,73,Same
104646,82187,9534,69.1,Same
104646,84249,9727,62.7,Same
104646,84586,9326,61.6,Same
104646,84587,1517,61.6,Same
104646,84588,9332,61.4,Same
104646,84590,1512,61.7,Same
104646,84682,1505,61.4,Same
104646,84774,9343,61,Same
104646,84816,7804,61,Same
104646,84817,1507,61,Same
104646,84883,1507,60.7,Same
104646,84906,1504,60.6,Same
104646,84920,1506,60.4,Same
104646,85130,1505,60.1,Same
104646,85135,1506,60,Same
104646,85420,1461,59.6,Same
104646,85550,1505,59.1,Same
104646,85900,1507,58.7,Same
104646,85908,1507,58.7,Same
104646,87339,9081,56.4,Same
104646,88197,9311,54.3,Same
104646,89999,9348,50.1,Same
104646,92044,9945,44.1,Same
104646,92868,9940,42.4,Same
104646,96134,3777,30.6,Same
105046,106175,7,7,Same
105046,106180,9586,7,Same
105046,106221,9586,7.7,Same
105046,106847,9784,11.3,Same
105046,106859,9547,11.4,Same
105046,107400,9748,17.9,Same
105046,107702,9272,21.4,Same
105046,107830,9621,23.1,Same
105046,108059,9574,25.6,Same
105046,108242,9621,27.7,Same
105046,108243,9621,27.7,Same
105046,108297,9621,28.4,Same
105046,108372,9621,29.4,Same
105046,108386,9620,30.9,Same
105046,108396,9621,31.6,Same
105046,108403,9621,32.1,Same
105046,108404,9621,32.3,Same
105046,108410,9638,32.9,Same
105046,108550,9625,44.9,Same
105046,108594,9625,48.7,Same
105046,108620,10014,51.4,Same
105046,109463,9893,58.4,Same
105046,109575,9917,61.1,Same
105046,109644,9916,62.3,Same
105046,109794,9733,66.6,Same
105046,110274,9628,74.7,Same
105046,110517,9315,79.4,Same
105046,110687,9806,83,Same
105046,112036,9578,100.6,Same
105046,112163,9165,101.3,Same
105046,112311,9964,104.4,Same
105046,112334,9384,106,Same
105046,113298,9388,117.9,Same
105046,113443,9556,122.3,Same
105046,113974,9528,130.6,Same
105046,114233,9360,135.3,Same
105046,115359,9592,145.3,Same
105046,115514,9889,145.9,Same
105046,116433,9634,149.1,Same
105046,117956,10017,163.9,Same
105046,117990,9815,165,Same
105046,117991,9139,164.9,Same
105046,118002,9996,165.1,Same
105046,118062,10019,165.7,Same
105046,118071,9942,165.9,Same
105046,118802,9705,175.6,Same
105046,120547,10153,186.3,Same
105046,120784,9636,189.9,Same
105046,120896,9420,191.6,Same
105046,60308,9505,345.1,Same
105046,60695,10526,337.3,Same
105046,60726,10510,336.4,Same
105046,60733,10516,336.4,Same
105046,60737,9455,336.3,Same
105046,60739,10532,336.1,Same
105046,60826,10541,335,Same
105046,60827,10539,334.9,Same
105046,60883,10524,334.1,Same
105046,60914,10533,333.6,Same
105046,60930,10540,333.3,Same
105046,60952,10482,332.9,Same
105046,60953,10074,332.9,Same
105046,61157,9528,330.9,Same
105046,61271,9555,329.4,Same
105046,61918,9496,322,Same
